Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
truth,com.google.common.truth,ExpectFailureWithStackTraceTest.FailingExpect,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
truth,com.google.common.truth,SubjectFactoryReflectionTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.google.common.truth.SubjectFactory
truth,com.google.common.truth,RelabeledSubjectsTest,Law of Demeter violation,The tool detected the smell in this method (namedIncludesActualStringValue) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.Subject.named; com.google.common.truth.StringSubject.startsWith
truth,com.google.common.truth,RelabeledSubjectsTest,Law of Demeter violation,The tool detected the smell in this method (relabeledBooleans) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.Subject.named; com.google.common.truth.BooleanSubject.isTrue
truth,com.google.common.truth,RelabeledSubjectsTest,Law of Demeter violation,The tool detected the smell in this method (relabeledObject) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.Subject.named; com.google.common.truth.Subject.isInstanceOf
truth,com.google.common.truth,RelabeledSubjectsTest,Law of Demeter violation,The tool detected the smell in this method (relabelledPrimitiveFloatArrays) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.AbstractArraySubject.named; com.google.common.truth.PrimitiveFloatArraySubject.isNotEqualTo
truth,com.google.common.truth,CustomFailureMessageTest,Law of Demeter violation,The tool detected the smell in this method (customMessageIsPrepended) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.Truth.assert_; com.google.common.truth.TestVerb.withFailureMessage
truth,com.google.common.truth,CustomFailureMessageTest,Law of Demeter violation,The tool detected the smell in this method (customMessageIsPrependedWithNamed) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.Truth.assert_; com.google.common.truth.TestVerb.withFailureMessage; com.google.common.truth.Subject.named
truth,com.google.common.truth,CustomFailureMessageTest,Law of Demeter violation,The tool detected the smell in this method (customMessage) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.Truth.assert_; com.google.common.truth.TestVerb.withFailureMessage; com.google.common.truth.BooleanSubject.isTrue
truth,com.google.common.truth,AbstractVerbTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.google.common.truth.AbstractVerb
truth,com.google.common.truth,AbstractVerbTest,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: strings
truth,com.google.common.truth,LongTest,Law of Demeter violation,The tool detected the smell in this method (additionAssumptionFail) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.TruthJUnit.assume; com.google.common.truth.LongSubject.isEqualTo
truth,com.google.common.truth,ExampleTest,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ints
truth,com.google.common.truth,ExampleTest,Law of Demeter violation,The tool detected the smell in this method (divideBySelf) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.TruthJUnit.assume; com.google.common.truth.IntegerSubject.isNotEqualTo
truth,com.google.common.truth,ExpectFailureTest.FailingExpect,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
truth,com.google.common.truth,ObjectArraySubjectTest,Law of Demeter violation,The tool detected the smell in this method (asList) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.ObjectArraySubject.asList; com.google.common.truth.IterableSubject.contains
truth,com.google.common.truth,ObjectArraySubjectTest,Law of Demeter violation,The tool detected the smell in this method (stringArrayAsList) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.ObjectArraySubject.asList; com.google.common.truth.IterableSubject.contains
truth,com.google.common.truth,IterableTest,Law of Demeter violation,The tool detected the smell in this method (namedIterableContainsFailure) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.Subject.named; com.google.common.truth.IterableSubject.contains
truth,com.google.common.truth,StringTest,Law of Demeter violation,The tool detected the smell in this method (stringNamedEqualityFail) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.Subject.named; com.google.common.truth.StringSubject.isEqualTo
truth,com.google.common.truth,Truth,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.google.common.truth.TestVerb
truth,com.google.common.truth,Truth,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: THROW_ASSERTION_ERROR
truth,com.google.common.truth,Truth,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 29
truth,com.google.common.truth,Truth,Law of Demeter violation,The tool detected the smell in this method (assertWithMessage) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.Truth.assert_; com.google.common.truth.TestVerb.withFailureMessage
truth,com.google.common.truth,Truth,Law of Demeter violation,The tool detected the smell in this method (assertAbout) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.Truth.assert_; com.google.common.truth.AbstractVerb.about
truth,com.google.common.truth,Truth,Law of Demeter violation,The tool detected the smell in this method (assertThat) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.Truth.assert_; com.google.common.truth.TestVerb.that
truth,com.google.common.truth,Expect.ExpectationGatherer,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
truth,com.google.common.truth,AbstractVerb,Law of Demeter violation,The tool detected the smell in this method (fail) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.AbstractVerb.getFailureStrategy; com.google.common.truth.FailureStrategy.fail
truth,com.google.common.truth,AbstractVerb,Law of Demeter violation,The tool detected the smell in this method (fail) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.AbstractVerb.getFailureStrategy; com.google.common.truth.FailureStrategy.fail
truth,com.google.common.truth,AbstractVerb.DelegatedVerb,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
truth,com.google.common.truth,Platform,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: TYPE_PATTERN
truth,com.google.common.truth,IteratingVerb,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.google.common.truth.codegen.IteratingWrapperClassBuilder
truth,com.google.common.truth,TestVerb,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 27
truth,com.google.common.truth.gwt,Inventory,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 23
truth,com.google.common.truth.gwt,TruthGwtTest,Law of Demeter violation,The tool detected the smell in this method (testObjectArray) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.ObjectArraySubject.asList; com.google.common.truth.IterableSubject.contains
truth,com.google.common.truth.gwt,TruthGwtTest,Law of Demeter violation,The tool detected the smell in this method (testLegacyAssert_) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.Truth.assert_; com.google.common.truth.Subject.isNotNull
truth,com.google.common.truth.gwt,TruthGwtTest,Law of Demeter violation,The tool detected the smell in this method (testLegacyAssert_) because the method voilates the law of Demeter. The long chain of method invocations is : com.google.common.truth.Truth.assert_; com.google.common.truth.Subject.isInstanceOf
truth,com.google.common.truth.codegen,IteratingWrapperClassBuilderTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.google.common.truth.codegen.IteratingWrapperClassBuilder
truth,com.google.common.truth.codegen,IteratingWrapperClassBuilderTest,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: FOO
truth,com.google.common.truth.codegen,IteratingWrapperClassBuilderTest.FooSubject,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
truth,com.google.common.truth.codegen,IteratingWrapperClassBuilderTest.FooSubject,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: FOO
truth,com.google.common.truth.codegen,BarSubject,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: BAR
truth,com.google.common.truth.codegen,CompilingClassLoader.CompilerException,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
